ID,date,endVZA,LAI_LXG1,baseline_LAI,LAI_LXG1_nowood
LT43,2024-09-20,10,8.053333333333333,1.111111111111111,6.942222222222222
LT43,2024-09-20,20,6.492957746478874,1.4545454545454544,5.03841229193342
LT43,2024-09-20,30,5.342857142857143,1.1282051282051282,4.214652014652016
LT43,2024-09-20,40,4.835616438356165,0.82,4.015616438356164
LT43,2024-09-20,50,4.473684210526316,0.7454545454545454,3.728229665071771
LT43,2024-09-20,60,4.025974025974026,0.7457627118644068,3.2802113141096196
LT43,2024-09-20,70,3.567901234567901,0.8135593220338984,2.7543419125340027
LT43,2024-09-20,80,3.2839506172839505,0.7903225806451613,2.493628036638789
LT43,2024-09-20,90,2.8658536585365857,0.75,2.1158536585365857
LT44,2024-09-20,10,5.82051282051282,0.40909090909090906,5.411421911421911
LT44,2024-09-20,20,6.045454545454546,0.5277777777777778,5.517676767676768
LT44,2024-09-20,30,5.397058823529411,0.6666666666666667,4.730392156862744
LT44,2024-09-20,40,4.918918918918919,0.8222222222222222,4.096696696696697
LT44,2024-09-20,50,4.4743589743589745,0.8076923076923076,3.666666666666667
LT44,2024-09-20,60,4.166666666666667,0.7758620689655173,3.3908045977011496
LT44,2024-09-20,70,3.973684210526316,0.7704918032786885,3.203192407247627
LT44,2024-09-20,80,3.55,0.7777777777777778,2.772222222222222
LT44,2024-09-20,90,3.15,0.75,2.4
LT41,2024-09-20,10,5.551724137931036,0.19999999999999998,5.351724137931035
LT41,2024-09-20,20,5.771428571428572,0.40816326530612246,5.36326530612245
LT41,2024-09-20,30,5.662162162162163,0.6153846153846154,5.046777546777548
LT41,2024-09-20,40,5.2,1.1153846153846152,4.084615384615385
LT41,2024-09-20,50,5.1066666666666665,1.4339622641509433,3.6727044025157234
LT41,2024-09-20,60,4.615384615384615,1.5357142857142856,3.0796703296703294
LT41,2024-09-20,70,4.2749999999999995,1.6034482758620692,2.67155172413793
LT41,2024-09-20,80,3.878048780487805,1.540983606557377,2.3370651739304282
LT41,2024-09-20,90,3.36144578313253,1.34375,2.01769578313253
LT53,2024-09-20,10,8.92,0.4545454545454546,8.465454545454545
LT53,2024-09-20,20,6.016666666666667,0.6666666666666667,5.35
LT53,2024-09-20,30,6.390625,0.5660377358490566,5.824587264150943
LT53,2024-09-20,40,5.633802816901409,0.5593220338983051,5.074480783003104
